ID,Source
BCW-000212,Dairy
BCW-000213,Dairy
BCW-000214,Dairy
BCW-000215,Dairy
BCW-000216,Dairy
BCW-000217,Dairy
BCW-000218,Dairy
BCW-000219,Dairy
BCW-000220,Dairy
BCW-000270,Dairy
BCW-000271,Dairy
BCW-000272,Dairy
BCW-000273,Dairy
BCW-000274,Dairy
BCW-000275,Dairy
BCW-000445,Dairy
BCW-000446,Dairy
BCW-000486,Dairy
BCW-000490,Dairy
BCW-000541,Dairy
BCW-000542,Dairy
BCW-000543,Dairy
BCW-000544,Dairy
BCW-000545,Dairy
BCW-000604,Dairy
BCW-000605,Dairy
BCW-000607,Dairy
BCW-000608,Dairy
BCW-000609,Dairy
BCW-000628,Dairy
BCW-000629,Dairy
BCW-000630,Dairy
BCW-000631,Dairy
BCW-000666,Dairy
BCW-000668,Dairy
BCW-000670,Dairy
BCW-000686,Dairy
BCW-000687,Dairy
BCW-000689,Dairy
BCW-000695,Dairy
BCW-000696,Dairy
BCW-000697,Dairy
BCW-000698,Dairy
BCW-000701,Dairy
BCW-000702,Dairy
BCW-000703,Dairy
BCW-000704,Dairy
BCW-000705,Dairy
BCW-000706,Dairy
BCW-000707,Dairy
BCW-000708,Dairy
BCW-000709,Dairy
BCW-000710,Dairy
BCW-000711,Dairy
BCW-000712,Dairy
BCW-000714,Dairy
BCW-000716,Dairy
BCW-000717,Dairy
BCW-000718,Dairy
BCW-000719,Dairy
BCW-000722,Dairy
BCW-000724,Dairy
BCW-000726,Dairy
BCW-000728,Dairy
BCW-000729,Dairy
BCW-000730,Dairy
BCW-000732,Dairy
BCW-000733,Dairy
BCW-000735,Dairy
BCW-000737,Dairy
BCW-200051,Mucilage
BCW-200077,Mucilage
BCW-200121,Mucilage
BCW-200128,Mucilage
BCW-200138,Mucilage
BCW-200150,Mucilage
BCW-200158,Mucilage
BCW-200159,Mucilage
BCW-200160,Mucilage
BCW-200163,Mucilage
BCW-200174,Mucilage
BCW-200175,Mucilage
BCW-200180,Mucilage
BCW-200188,Mucilage
BCW-200192,Mucilage
BCW-200196,Mucilage
BCW-200198,Mucilage
BCW-200229,Mucilage
BCW-200232,Mucilage
BCW-200238,Mucilage
BCW-200241,Mucilage
BCW-201453,Mucilage
BCW-201861,Mucilage
